Name,Nation,lat_dd,lon_dd
Belgrano II,Argentina,-77.8744444,-34.6269444
Esperanza,Argentina,-63.39695938,-56.99805434
Carlini (formally known as Jubany),Argentina,-62.2379,-58.66684167
Marambio,Argentina,-64.24176895,-56.62322459
Orcadas,Argentina,-60.7375919,-44.73738674
San Martin,Argentina,-68.13030011,-67.10293129
Casey,Australia,-66.28234266,110.5267924
Davis,Australia,-68.57593768,77.96951603
Mawson,Australia,-67.60264444,62.87302778
Comandante Ferraz,Brazil,-62.08462076,-58.39256957
Arturo Prat,Chile,-62.47933555,-59.66351347
Julio Escudero,Chile,-62.20137307,-58.96267648
Eduardo Frei Montalva,Chile,-62.20023174,-58.96262712
Bernardo O'Higgins Riquelme,Chile,-63.32095118,-57.89978113
Great Wall,China,-62.21638889,-58.9644444
Zhongshan,China,-69.37333333,76.37777778
Dumont d'Urville,France,-66.66283333,140.0013333
Neumayer III,Germany,-70.67725032,-8.271599716
Bharati,India,-69.4,76.183
Maitri,India,-70.76683367,11.73078318
Syowa,Japan,-69.00412231,39.58183616
King Sejong,Republic of Korea,-62.2232395,-58.7865044
Scott Base,New Zealand,-77.849437,166.767281
Arctowski,Poland,-62.15977292,-58.47332175
Bellingshausen,Russia,-62.19818377,-58.96060891
Mirny,Russia,-66.55823444,93.0003795
Novolazarevskaya,Russia,-70.77692572,11.82366729
Progress,Russia,-69.37812036,76.38779398
SANAE IV,South Africa,-71.67287313,-2.840324047
Vernadsky,Ukraine,-65.24574295,-64.25748123
Halley,United Kingdom,-75.57982394,-26.72862432
Rothera,United Kingdom,-67.56863642,-68.124377
Artigas,Uruguay,-62.18455071,-58.90244173
McMurdo Station,USA,-77.8482091,166.668422
Palmer Station,USA,-64.77426073,-64.05333352
Punta Arenas,Chile,-53.1638,-70.9171
Hobart,Australia,-42.8821,147.3272
Perth,Australia,-31.9505,115.8605
Invercargill,New Zealand,-46.4132,168.3538
Port Elizabeth,South Africa,-33.7139,25.5207
Cape Town,South Africa,-33.918861,18.4233
